company,ticker,year,AccountsReceivableNetCurrent,Assets,CashAndCashEquivalentsAtCarryingValue,InventoryNet,Liabilities,NetIncomeLoss,Revenues,dsri,aqi,sgi,lvgi,accruals,cash_profit_gap,rev_growth,recv_growth,rev_recv_divergence
ADOBE INC.,ADBE,2023,2224000000.0,29779000000.0,7141000000.0,,13261000000.0,5428000000.0,19409000000.0,0.976949836182186,0.8925450299568787,1.102408269907986,0.9224454549408695,-0.05752375835320192,1.3155858511422256,0.10240826990798592,0.07699757869249395,-0.02541069121549197
ADOBE INC.,ADBE,2024,2072000000.0,30230000000.0,7613000000.0,,16125000000.0,5560000000.0,21505000000.0,0.8408502958154286,0.9914024726209151,1.1079911381317946,1.1978306202980478,-0.06791266953357591,1.3692446043165467,0.10799113813179453,-0.0683453237410072,-0.17633646187280172
ADOBE INC.,ADBE,2025,2344000000.0,29496000000.0,5431000000.0,,17873000000.0,7130000000.0,23769000000.0,1.023520139385342,1.083549341602176,1.1052778423622414,1.1359854128164533,0.057601030648223486,0.761711079943899,0.10527784236224134,0.13127413127413126,0.025996288911889917
ADVANCED MICRO DEVICES INC,AMD,2010,968000000.0,4964000000.0,606000000.0,632000000.0,,471000000.0,,,,,,-0.02719580983078163,1.286624203821656,,,
ADVANCED MICRO DEVICES INC,AMD,2011,919000000.0,4954000000.0,869000000.0,476000000.0,,491000000.0,,,0.977313254384134,,,-0.0763019781994348,1.769857433808554,,-0.0506198347107438,
ADVANCED MICRO DEVICES INC,AMD,2012,630000000.0,4000000000.0,549000000.0,562000000.0,,-1183000000.0,,,1.04006375464684,,,-0.433,0.4640743871513102,,-0.3144722524483134,
ADVANCED MICRO DEVICES INC,AMD,2013,832000000.0,4337000000.0,869000000.0,884000000.0,,-83000000.0,,,0.7153003541900341,,,-0.2195065713626931,10.46987951807229,,0.32063492063492066,
ADVANCED MICRO DEVICES INC,AMD,2014,818000000.0,3767000000.0,805000000.0,685000000.0,,-403000000.0,,,0.9587712264522598,,,-0.320679585877356,1.9975186104218363,,-0.016826923076923076,
ADVANCED MICRO DEVICES INC,AMD,2015,533000000.0,3084000000.0,785000000.0,678000000.0,,-660000000.0,,,0.9108667610759816,,,-0.4685473411154345,1.1893939393939394,,-0.3484107579462103,
ADVANCED MICRO DEVICES INC,AMD,2016,372000000.0,3321000000.0,1264000000.0,691000000.0,,-498000000.0,4319000000.0,,0.8484045379669483,,,-0.5305630834086119,2.538152610441767,,-0.30206378986866794,
